num_results_for_query,requested_at,link,scrape_method,num_results,domain,effective_query,query,visible_link,search_engine_name,page_number,link_type,requested_by,snippet,title,rank
45.200.000 results,2015-01-19 18:53:41.887519,http://as.com/,http-async,10,as.com,0,A's,as.com,bing,1,results,,Diario digital de información deportiva. Especializado en la Liga Española de Fútbol y en los acontecimientos deportivos.,"AS.com - Diario online deportivo. Fútbol, motor y mucho más",1
45.200.000 results,2015-01-19 18:53:41.887519,http://www.as-motor.de/,http-async,10,www.as-motor.de,0,A's,www.as-motor.de,bing,1,results,,Hersteller von handgeführten Motormähern und Mulchern sowie sonstigen Kleingeräten beschreibt sein Angebot [D-74420 Oberrot].,Home AS-MOTOR,2
45.200.000 results,2015-01-19 18:53:41.887519,http://www.englisch-hilfen.de/uebungen/adjektive_adverbien/adjektive_as_as.htm,http-async,10,www.englisch-hilfen.de,0,A's,www.englisch-hilfen.de › … › English version,bing,1,results,,Vergleiche mit englischen Adjektiven - Übungen - Englisch Lernen im Internet,Adjektive bei Vergleichen - as ... as - Englisch …,3
45.200.000 results,2015-01-19 18:53:41.887519,http://de.wikipedia.org/wiki/AS,http-async,10,de.wikipedia.org,0,A's,de.wikipedia.org/wiki/AS,bing,1,results,,"AS , ÅS , As , as , Aš , A/S , A. Ş. , a. s. steht für: Geografie und Verkehr: Aarau–Schöftland-Bahn , eine ehemalige in die Wynental- und ...",AS – Wikipedia,4
45.200.000 results,2015-01-19 18:53:41.887519,http://www.dict.cc/?s=as,http-async,10,www.dict.cc,0,A's,www.dict.cc › Deutsch › Nur in dieser Sprache suchen,bing,1,results,,Übersetzung für as im Englisch-Deutsch-Wörterbuch dict.cc.,dict.cc | as | Wörterbuch Englisch-Deutsch,5
45.200.000 results,2015-01-19 18:53:41.887519,http://dictionary.reference.com/browse/as,http-async,10,dictionary.reference.com,0,A's,dictionary.reference.com/browse/as,bing,1,results,,"adverb 1. to the same degree, amount, or extent; similarly; equally: I don't think it's as hot and humid today as it was yesterday. 2. for example; for ...",As | Define As at Dictionary.com,6
45.200.000 results,2015-01-19 18:53:41.887519,http://de.wikipedia.org/wiki/As_(Einheit),http-async,10,de.wikipedia.org,0,A's,de.wikipedia.org/wiki/As_(Einheit),bing,1,results,,None,As (Einheit) – Wikipedia,7
45.200.000 results,2015-01-19 18:53:41.887519,http://futbol.as.com/,http-async,10,futbol.as.com,0,A's,futbol.as.com,bing,1,results,,"Fútbol en AS.com Noticias de los equipos de fútbol de 1ª y 2ª división, la Champions League y la UEFA, la Copa del Rey y la Selección Española: la ...",Fútbol en AS.com,8
45.200.000 results,2015-01-19 18:53:41.887519,http://www.dict.cc/englisch-deutsch/as.html,http-async,10,www.dict.cc,0,A's,www.dict.cc › … › Übersetzungen mit gleichem Wortanfang › ̏,bing,1,results,,Englisch-Deutsch-Übersetzung für as im Online-Wörterbuch dict.cc (Deutschwörterbuch).,dict.cc Wörterbuch :: as :: Deutsch-Englisch …,9
45.200.000 results,2015-01-19 18:53:41.887519,http://www.englisch-hilfen.de/words/redewendungen_as.htm,http-async,10,www.englisch-hilfen.de,0,A's,www.englisch-hilfen.de › Vokabeln › Umgangssprache,bing,1,results,,Redewendungen mit as - as - englische Vokabeln ... Redewendung deutsch; as angry as hell: vor Wut kochen: as bitter as gall: gallenbitter,Redewendungen so - wie; as - as - Englisch,10
26.600.000 results,2015-01-19 18:53:42.036622,http://www.pc-magazin.de/ratgeber/silverfast-ai-studio-8-anleitung-dia-scannen-tutorial-2843020.html,http-async,13,www.pc-magazin.de,0,AI's,PC Magazin · 10 hours ago,bing,2,results,,Wählen Sie in der oberen Zeile die Funktion Durchlicht (bei einem Filmscanner lässt sich dies ohnehin nicht auf Aufsicht ...,Tutorial SilverFast Ai Studio 8: Dia scannen - Schritt für Schritt Anleitung,1
26.600.000 results,2015-01-19 18:53:42.036622,http://www.yacht.de/ausruestung/neue_ausruestung/ais-mob-mit-automatischer-aktivierung/a95593.html,http-async,13,www.yacht.de,0,AI's,yacht.de · 3 days ago,bing,2,results,,None,AIS-MOB mit automatischer Aktivierung,2
26.600.000 results,2015-01-19 18:53:42.036622,"http://www.plonki.com/sendung/video/1072470,futur-proche-j-ai-pas-grandi-avec",http-async,13,www.plonki.com,0,AI's,Plonki · 11 hours ago,bing,2,results,,None,Futur Proche - J’ai pas grandi avec... Stream,3
26.600.000 results,2015-01-19 18:53:42.036622,http://www.marinetraffic.com/de/ais/home,http-async,13,www.marinetraffic.com,0,AI's,www.marinetraffic.com/de/ais/home,bing,2,results,,"Vessel positions tracking based on AIS data. Real-time ship locations, port arrivals and departures.",AIS-Schiffspositionen/-verkehr in Echtzeit - AIS Marine ...,1
26.600.000 results,2015-01-19 18:53:42.036622,https://www.marinetraffic.com/,http-async,13,www.marinetraffic.com,0,AI's,https://www.marinetraffic.com,bing,2,results,,None,Live Ships Map - AIS - Vessel Traffic and Positions - AIS ...,2
26.600.000 results,2015-01-19 18:53:42.036622,http://www.ais.de/,http-async,13,www.ais.de,0,AI's,www.ais.de,bing,2,results,,"AIS: Ihr Spezialist für mobile Track and Trace Lösungen, GPS Tracking Lösungen und Sendungsverfolgung im Nah- und Fernverkehr",AIS GmbH,3
26.600.000 results,2015-01-19 18:53:42.036622,http://de.wikipedia.org/wiki/Automatic_Identification_System,http-async,13,de.wikipedia.org,0,AI's,de.wikipedia.org/wiki/Automatic_Identification_System,bing,2,results,,None,Automatic Identification System – Wikipedia,4
26.600.000 results,2015-01-19 18:53:42.036622,http://de.wikipedia.org/wiki/AIS,http-async,13,de.wikipedia.org,0,AI's,de.wikipedia.org/wiki/AIS,bing,2,results,,"AIS steht für in der Medizin: Amnioninfektionssyndrom , ein Infektion, die während Schwangerschaft oder Geburt auftreten kann. Abbreviated Injury Scale ...",AIS – Wikipedia,5
26.600.000 results,2015-01-19 18:53:42.036622,http://www.ais-online.de/,http-async,13,www.ais-online.de,0,AI's,www.ais-online.de,bing,2,results,,PROFESSIONELLE PLANUNGSUNTERSTÜTZUNG BEI AIS-ONLINE.DE. AIS - das Architekten-Informationssystem informiert Sie umfassend über aktuelle Bauprodukte ...,PROFESSIONELLE PLANUNGSUNTERSTÜTZUNG …,6
26.600.000 results,2015-01-19 18:53:42.036622,http://en.wikipedia.org/wiki/Automatic_Identification_System,http-async,13,en.wikipedia.org,0,AI's,en.wikipedia.org/wiki/Automatic_Identification_System,bing,2,results,,None,"Automatic Identification System - Wikipedia, the free ...",7
26.600.000 results,2015-01-19 18:53:42.036622,http://www.namibia-info.net/namibia-reisefuehrer/sued-namibia/ai-ais.html,http-async,13,www.namibia-info.net,0,AI's,www.namibia-info.net/namibia-reisefuehrer/sued-namibia/ai-ais.html,bing,2,results,,"Ai-Ais Thermalquellen im Fish River Canyon, Namibia. Beste Reisezeit. Heilsam für Rheumakranke. Wanderungen im Fish River Canyon.",Ai-Ais - Namibia Online Reiseführer,8
26.600.000 results,2015-01-19 18:53:42.036622,https://secais.dfs.de/pilotservice/home.jsp,http-async,13,secais.dfs.de,0,AI's,https://secais.dfs.de,bing,2,results,,Kontakt AIS-Centre (AIS-C) Telefon: 069/78072-500 Telefax: 069/78072-505. CYPA Office. Telefon: 069/78072-550. NOTAM Office. Telefon: 069/78072-656 Telefax ...,AIS-Portal - DFS Deutsche Flugsicherung GmbH,9
26.600.000 results,2015-01-19 18:53:42.036622,http://aisnet.org/,http-async,13,aisnet.org,0,AI's,aisnet.org,bing,2,results,,is a professional organization whose purpose is to serve as the premier global organization for academicians specializing in Information Systems.,Association for Information Systems - Official Site,10
385.000.000 results,2015-01-19 18:53:42.057259,http://www.heise.de/newsticker/meldung/Rent-A-Hacker-Online-Markplatz-fuer-Hacker-Jobs-2520147.html,http-async,14,www.heise.de,0,A,Heise Online · 22 minutes ago,bing,1,results,,"Für ein paar hundert Dollar kann man bei Hacker's List ganz offen einen Hacker damit beauftragen, einen Online-Account oder ein ...",Rent-A-Hacker: Online-Markplatz für Hacker-Jobs,1
385.000.000 results,2015-01-19 18:53:42.057259,http://www.t-online.de/sport/fussball/international/id_72548144/serie-a-harsche-kritik-an-gomez-klose-und-podolski.html,http-async,14,www.t-online.de,0,A,T Online · 6 hours ago,bing,1,results,,None,"Serie A: Harsche Kritik an Gomez, Klose und Podolski",2
385.000.000 results,2015-01-19 18:53:42.057259,http://www.schwarzwaelder-bote.de/inhalt.oberndorf-a-n-kindheit-praegt-spanischen-autor.0400f99d-2d1c-49ef-bbf4-8b8cd2aa442d.html,http-async,14,www.schwarzwaelder-bote.de,0,A,Schwarzwälder-Bote · 14 minutes ago,bing,1,results,,None,Oberndorf a. N. Kindheit prägt spanischen Autor,3
385.000.000 results,2015-01-19 18:53:42.057259,http://www.a-trane.de/,http-async,14,www.a-trane.de,0,A,www.a-trane.de,bing,1,results,,"A-Trane, Jazz Club in Berlin, Bleibtreustrasse/Ecke Pestalozzistrasse, täglich geöffnet...",A-Trane International Jazz-Club Berlin …,1
385.000.000 results,2015-01-19 18:53:42.057259,http://www.aohostels.com/de/,http-async,14,www.aohostels.com,0,A,www.aohostels.com/de,bing,1,results,,"A&O HOTELS and HOSTELS: Günstig übernachten in vielen Städten in Deutschland, Österreich und Tschechien. Günstige Hotels und Hostels. Jetzt online buchen!",Hotels und Hostels - Jugendherberge - Berlin …,2
385.000.000 results,2015-01-19 18:53:42.057259,http://www.abola.pt/,http-async,14,www.abola.pt,0,A,www.abola.pt,bing,1,results,,None,abola.pt,3
385.000.000 results,2015-01-19 18:53:42.057259,http://usonline.apc.fr/,http-async,14,usonline.apc.fr,0,A,usonline.apc.fr,bing,1,results,,"journal. top of page. newsletter: seasonal sales, collaborations, events: stay in touch with a.p.c. subscribe",A.P.C. | HOME,4
385.000.000 results,2015-01-19 18:53:42.057259,http://www.awrestaurants.com/,http-async,14,www.awrestaurants.com,0,A,www.awrestaurants.com,bing,1,results,,"U.S. chain specializing in its branded root beer; offers history, menu, store locator, and contact details.",A&W Restaurants - Official Site,5
385.000.000 results,2015-01-19 18:53:42.057259,http://www.chick-fil-a.com/,http-async,14,www.chick-fil-a.com,0,A,www.chick-fil-a.com,bing,1,results,,"Quick-service U.S. chicken restaurant provides menu, nutritional information, store locator, company facts and history.",Chick-fil-A - Official Site,6
385.000.000 results,2015-01-19 18:53:42.057259,http://www.c-and-a.com/,http-async,14,www.c-and-a.com,0,A,www.c-and-a.com,bing,1,results,,"Innovative from the start, family-owned C&A contributed substantially to the creation of attractive, affordable, ready-to-wear clothing for everyday people.",C&A - Company,7
385.000.000 results,2015-01-19 18:53:42.057259,http://www.latimes.com/entertainment/arts/la-et-cm-early-shaker-spirituals-frances-mcdormand-20150118-story.html,http-async,14,www.latimes.com,0,A,www.latimes.com/entertainment/arts/la-et-cm-early-shaker...,bing,1,results,,"The sweet, simple songs came one after the other, performed a cappella by five accomplished women — one an established recording artist, another an award ...",A clear channel to the Shaker past: Woosters' 'Early ...,8
385.000.000 results,2015-01-19 18:53:42.057259,http://www.aetv.com/,http-async,14,www.aetv.com,0,A,www.aetv.com,bing,1,results,,"Explore A&E shows, schedules, full episodes, and videos to your favorite series, including Duck Dynasty, Storage Wars & Bates Motel.","A&E - Shows, Schedules, Full Episodes & Videos",9
385.000.000 results,2015-01-19 18:53:42.057259,http://wiki.answers.com/,http-async,14,wiki.answers.com,0,A,wiki.answers.com,bing,1,results,,"Want to win $$$ or an iPad Air for your answers?! Sign up for the December EXPERTS ONLY AnswerThon! Over 40 Experts will win prizes, & you could win a cash ...",WikiAnswers - Official Site,10
385.000.000 results,2015-01-19 18:53:42.057259,http://0.r.msn.com/?ld=d3zgGfCLb8fJcFfig2vBPQ0TVUCUxG66ZC2kUdUuP7LdR6tLvkYO8K4U2JDkzv_5ytZ3euljMyAfKCusjP_39wwjglL54dn4scRX36Q1PH5nJgTjBB-iVVGbdQ0R8BvMOMGnnKhqoftbvulBdHRIV9jJnzryl6kgQ2QWUNLyrbwN5gjChK&u=http%3a%2f%2fwww.amazon.de%2f%3ftag%3dhyddemsn-21%26hvadid%3d6318997183%26ref%3dpd_sl_83dumt9tcp_e,http-async,14,0.r.msn.com,0,A,www.amazon.de,bing,1,ads_main,,"Niedrige Preise, Riesen-Auswahl. Kostenlose Lieferung möglich.","A - Amazon.de - Niedrige Preise, Riesen-Auswahl.",1
26.600.000 results,2015-01-19 18:53:42.000500,http://www.pc-magazin.de/ratgeber/silverfast-ai-studio-8-anleitung-dia-scannen-tutorial-2843020.html,http-async,13,www.pc-magazin.de,0,AI's,PC Magazin · 10 hours ago,bing,1,results,,Wählen Sie in der oberen Zeile die Funktion Durchlicht (bei einem Filmscanner lässt sich dies ohnehin nicht auf Aufsicht ...,Tutorial SilverFast Ai Studio 8: Dia scannen - Schritt für Schritt Anleitung,1
26.600.000 results,2015-01-19 18:53:42.000500,http://www.yacht.de/ausruestung/neue_ausruestung/ais-mob-mit-automatischer-aktivierung/a95593.html,http-async,13,www.yacht.de,0,AI's,yacht.de · 3 days ago,bing,1,results,,None,AIS-MOB mit automatischer Aktivierung,2
26.600.000 results,2015-01-19 18:53:42.000500,"http://www.plonki.com/sendung/video/1072470,futur-proche-j-ai-pas-grandi-avec",http-async,13,www.plonki.com,0,AI's,Plonki · 11 hours ago,bing,1,results,,None,Futur Proche - J’ai pas grandi avec... Stream,3
26.600.000 results,2015-01-19 18:53:42.000500,http://www.marinetraffic.com/de/ais/home,http-async,13,www.marinetraffic.com,0,AI's,www.marinetraffic.com/de/ais/home,bing,1,results,,"Vessel positions tracking based on AIS data. Real-time ship locations, port arrivals and departures.",AIS-Schiffspositionen/-verkehr in Echtzeit - AIS Marine ...,1
26.600.000 results,2015-01-19 18:53:42.000500,https://www.marinetraffic.com/,http-async,13,www.marinetraffic.com,0,AI's,https://www.marinetraffic.com,bing,1,results,,None,Live Ships Map - AIS - Vessel Traffic and Positions - AIS ...,2
26.600.000 results,2015-01-19 18:53:42.000500,http://www.ais.de/,http-async,13,www.ais.de,0,AI's,www.ais.de,bing,1,results,,"AIS: Ihr Spezialist für mobile Track and Trace Lösungen, GPS Tracking Lösungen und Sendungsverfolgung im Nah- und Fernverkehr",AIS GmbH,3
26.600.000 results,2015-01-19 18:53:42.000500,http://de.wikipedia.org/wiki/Automatic_Identification_System,http-async,13,de.wikipedia.org,0,AI's,de.wikipedia.org/wiki/Automatic_Identification_System,bing,1,results,,None,Automatic Identification System – Wikipedia,4
26.600.000 results,2015-01-19 18:53:42.000500,http://de.wikipedia.org/wiki/AIS,http-async,13,de.wikipedia.org,0,AI's,de.wikipedia.org/wiki/AIS,bing,1,results,,"AIS steht für in der Medizin: Amnioninfektionssyndrom , ein Infektion, die während Schwangerschaft oder Geburt auftreten kann. Abbreviated Injury Scale ...",AIS – Wikipedia,5
26.600.000 results,2015-01-19 18:53:42.000500,http://www.ais-online.de/,http-async,13,www.ais-online.de,0,AI's,www.ais-online.de,bing,1,results,,PROFESSIONELLE PLANUNGSUNTERSTÜTZUNG BEI AIS-ONLINE.DE. AIS - das Architekten-Informationssystem informiert Sie umfassend über aktuelle Bauprodukte ...,PROFESSIONELLE PLANUNGSUNTERSTÜTZUNG …,6
26.600.000 results,2015-01-19 18:53:42.000500,http://en.wikipedia.org/wiki/Automatic_Identification_System,http-async,13,en.wikipedia.org,0,AI's,en.wikipedia.org/wiki/Automatic_Identification_System,bing,1,results,,None,"Automatic Identification System - Wikipedia, the free ...",7
26.600.000 results,2015-01-19 18:53:42.000500,http://www.namibia-info.net/namibia-reisefuehrer/sued-namibia/ai-ais.html,http-async,13,www.namibia-info.net,0,AI's,www.namibia-info.net/namibia-reisefuehrer/sued-namibia/ai-ais.html,bing,1,results,,"Ai-Ais Thermalquellen im Fish River Canyon, Namibia. Beste Reisezeit. Heilsam für Rheumakranke. Wanderungen im Fish River Canyon.",Ai-Ais - Namibia Online Reiseführer,8
26.600.000 results,2015-01-19 18:53:42.000500,https://secais.dfs.de/pilotservice/home.jsp,http-async,13,secais.dfs.de,0,AI's,https://secais.dfs.de,bing,1,results,,Kontakt AIS-Centre (AIS-C) Telefon: 069/78072-500 Telefax: 069/78072-505. CYPA Office. Telefon: 069/78072-550. NOTAM Office. Telefon: 069/78072-656 Telefax ...,AIS-Portal - DFS Deutsche Flugsicherung GmbH,9
26.600.000 results,2015-01-19 18:53:42.000500,http://aisnet.org/,http-async,13,aisnet.org,0,AI's,aisnet.org,bing,1,results,,is a professional organization whose purpose is to serve as the premier global organization for academicians specializing in Information Systems.,Association for Information Systems - Official Site,10
25.600.000 results,2015-01-19 18:53:42.105251,http://www.transfermarkt.de/ac-florenz-bindet-savic-bis-2018/thread/forum/228/thread_id/51967,http-async,13,www.transfermarkt.de,0,AC's,Transfermarkt · 8 hours ago,bing,1,results,,Dies ist der Diskussions-Thread zur News: AC Florenz bindet Savic bis 2018. Der AC Florenz hat Innenverteidiger Stefan Savic (24 ...,AC Florenz bindet Savic bis 2018,1
25.600.000 results,2015-01-19 18:53:42.105251,http://www.svz.de/sport/fussball/ausland/ac-mailand-in-unterzahl-erneut-ohne-sieg-id8650656.html,http-async,13,www.svz.de,0,AC's,Schweriner Volkszeitung · 18 hours ago,bing,1,results,,None,Fußball: AC Mailand in Unterzahl erneut ohne Sieg,2
25.600.000 results,2015-01-19 18:53:42.105251,http://www.shz.de/sport/fussball/ausland/ac-mailand-holt-spanischen-stuermer-suso-id8710561.html,http-async,13,www.shz.de,0,AC's,Schleswig-Holsteinischer… · 1 day ago,bing,1,results,,None,Fußball: AC Mailand holt spanischen Stürmer Suso,3
25.600.000 results,2015-01-19 18:53:42.105251,http://pubs.acs.org/,http-async,13,pubs.acs.org,0,AC's,pubs.acs.org,bing,1,results,,Publishes products and services for the practice and advancement of the chemical sciences.,American Chemical Society Publications,1
25.600.000 results,2015-01-19 18:53:42.105251,http://www.acs.org/,http-async,13,www.acs.org,0,AC's,www.acs.org,bing,1,results,,ACS Career Fair. The ACS Career Fair provides resources for you to find a new job and stand out from the crowd.,American Chemical Society,2
25.600.000 results,2015-01-19 18:53:42.105251,http://www.acs.de/home.html,http-async,13,www.acs.de,0,AC's,www.acs.de,bing,1,results,,"Frankfurt,ACS, Kurier,Fahrdienst, Overknight,Kurierfahrten,Express Kurier,",ACS,3
25.600.000 results,2015-01-19 18:53:42.105251,http://de.wikipedia.org/wiki/ACS,http-async,13,de.wikipedia.org,0,AC's,de.wikipedia.org/wiki/ACS,bing,1,results,,"Ács steht für: Ács (Ungarn) , Stadt im Komitat Komárom-Esztergom Personen: Gábor Ács (* 1926), ungarischer Architekt Ilona Ács (1920–1976 ...",Acs – Wikipedia,4
25.600.000 results,2015-01-19 18:53:42.105251,http://www.acs-controlsystem.de/de/home/,http-async,13,www.acs-controlsystem.de,0,AC's,www.acs-controlsystem.de,bing,1,results,,Die ACS-Control-System GmbH ist ein innovatives und leistungsfähiges Unternehmen für Messtechnik und Kontrollsysteme. Seit 20 Jahren werden Sensoren für ...,acs-controlsystem.de,5
25.600.000 results,2015-01-19 18:53:42.105251,http://www.acs-innovations.de/,http-async,13,www.acs-innovations.de,0,AC's,www.acs-innovations.de,bing,1,results,,"Gute Ideen. Leicht gemacht. Das acs hat die Aufgabe, Entwicklungsarbeiten zur Gewichtsreduzierung im Automobilbau zu ermöglichen. Dies gilt für neue ...",acs innovations | Automotive Center …,6
25.600.000 results,2015-01-19 18:53:42.105251,http://de.wikipedia.org/wiki/Grupo_ACS,http-async,13,de.wikipedia.org,0,AC's,de.wikipedia.org/wiki/Grupo_ACS,bing,1,results,,None,Grupo ACS – Wikipedia,7
25.600.000 results,2015-01-19 18:53:42.105251,http://www.acs.ch/ch-de/index.asp,http-async,13,www.acs.ch,0,AC's,www.acs.ch/ch-de/index.asp,bing,1,results,,Automobil Club der Schweiz Zentralverwaltung Wasserwerkgasse 39 CH-3000 Bern 13 info@acs.ch Tel. +41 31 328 31 11 Fax +41 31 311 03 10,ACS Classic,8
25.600.000 results,2015-01-19 18:53:42.105251,http://www.acsde.de/,http-async,13,www.acsde.de,0,AC's,www.acsde.de,bing,1,results,,"Herzlich willkommen bei ACS. Wir sind Profis für Verkauf, Operation, Customer Service und Consulting und der zuverlässige Partner an Ihrer Seite.",Home - ACS,9
25.600.000 results,2015-01-19 18:53:42.105251,http://www.grupoacs.com/,http-async,13,www.grupoacs.com,0,AC's,www.grupoacs.com,bing,1,results,,"Conjunto de empresas en las áreas de la construcción, servicios, concesiones y telecomunicaciones. (Símbolo: ACS).",Grupo ACS,10
31.700.000 results,2015-01-19 18:53:42.083414,http://www.ams.at/service-arbeitsuchende,http-async,10,www.ams.at,0,AM's,www.ams.at/service-arbeitsuchende,bing,2,results,,"AMS - Arbeitsmarktservice Österreich ... Aktiv am Arbeitsmarkt Nutzen Sie unsere Serviceangebote, damit Sie im Beruf schneller vorankommen.",eAMS - Serviceangebote - Arbeitsmarktservice …,1
31.700.000 results,2015-01-19 18:53:42.083414,http://www.ams.at/,http-async,10,www.ams.at,0,AM's,www.ams.at,bing,2,results,,"Die Zahl der Personen, die sich an das Arbeitsmarktservice (AMS) wenden, ist enorm gestiegen. Österreich verzeichnet zwar Rekordbeschäftigung, aber auch ...",Startseite - Arbeitsmarktservice Österreich,2
31.700.000 results,2015-01-19 18:53:42.083414,http://www.auto-motor-und-sport.de/,http-async,10,www.auto-motor-und-sport.de,0,AM's,www.auto-motor-und-sport.de,bing,2,results,,None,AUTO MOTOR UND SPORT | Tests - Erlkönige - …,3
31.700.000 results,2015-01-19 18:53:42.083414,http://www.ams-clocks.de/,http-async,10,www.ams-clocks.de,0,AM's,www.ams-clocks.de,bing,2,results,,Wohnraumuhren nach alter Schwarzwälder Uhrentradition mit zukunftsorientiertem Design für gehobene Ansprüche.,AMS Uhren - Schwarzwälder Uhren mit Tradition,4
31.700.000 results,2015-01-19 18:53:42.083414,http://www.ams-net.de/,http-async,10,www.ams-net.de,0,AM's,www.ams-net.de,bing,2,results,,"Willkommen bei ams - Radio und MediaSolutions. Ihr Partner für Radiowerbung, Onlinewerbung, Audioproduktion und Videoproduktion sowie Eventagentur.",ams – Radio und MediaSolutions – hören > …,5
31.700.000 results,2015-01-19 18:53:42.083414,http://de.wikipedia.org/wiki/AMS,http-async,10,de.wikipedia.org,0,AM's,de.wikipedia.org/wiki/AMS,bing,2,results,,"AMS steht als Abkürzung für: Ablepharon-Makrostomie-Syndrom , sehr seltenes, stark entstellendes Syndrom Absorbierbarer Metallstent , eine absorbierbare ...",AMS – Wikipedia,6
31.700.000 results,2015-01-19 18:53:42.083414,http://www.ams-ag.de/,http-async,10,www.ams-ag.de,0,AM's,www.ams-ag.de,bing,2,results,,"Die AMS GmbH beschäftigt sich mit der Forschung, Entwicklung und dem Vertrieb bioenergetischer Medizintechnik und Wellnessprodukten.","www.ams-ag.de: Magnetfeldtherapie, …",7
31.700.000 results,2015-01-19 18:53:42.083414,http://www.ams-fl.com/,http-async,10,www.ams-fl.com,0,AM's,www.ams-fl.com,bing,2,results,,"Klein- und Großserienentwicklung und Produktion von kundenspezifischen Systemlösungen in den Bereichen Hardware, Software und Industrie. [D-24941 …",Home: AMS,8
31.700.000 results,2015-01-19 18:53:42.083414,http://www.ams-clocks.de/Collekt.htm,http-async,10,www.ams-clocks.de,0,AM's,www.ams-clocks.de/Collekt.htm,bing,2,results,,Ästhetik und Qualität für gehobene Ansprüche hat sich die Design-Linie von AMS verpflichtet. Im Programm finden sich sowohl traditionelle ...,AMS Uhren - Schwarzwälder Uhren mit Tradition,9
31.700.000 results,2015-01-19 18:53:42.083414,http://www.berufslexikon.at/,http-async,10,www.berufslexikon.at,0,AM's,www.berufslexikon.at,bing,2,results,,"Ausführliche Berufsbeschreibungen zu mehr als 1.800 Berufen zeigen Ihnen, welche Tätigkeiten, Beschäftigungsperspektiven sowie Aus- und ...",AMS - Berufslexikon,10
12.200.000 results,2015-01-19 18:53:41.917707,http://de.wikipedia.org/wiki/AIDS,http-async,10,de.wikipedia.org,0,AIDS's,de.wikipedia.org/wiki/AIDS,bing,2,results,,None,AIDS – Wikipedia,1
